format	well	type	row	row.num	col
96	96	4	H	8	12
96	95	3	G	7	12
96	94	2	F	6	12
96	93	2	E	5	12
96	92	1	D	4	12
96	91	1	C	3	12
96	90	1	B	2	12
96	89	1	A	1	12
96	88	1	H	8	11
96	87	1	G	7	11
96	86	1	F	6	11
96	85	1	E	5	11
96	84	1	D	4	11
96	83	1	C	3	11
96	82	1	B	2	11
96	81	1	A	1	11
96	80	1	H	8	10
96	79	1	G	7	10
96	78	1	F	6	10
96	77	1	E	5	10
96	76	1	D	4	10
96	75	1	C	3	10
96	74	1	B	2	10
96	73	1	A	1	10
96	72	1	H	8	9
96	71	1	G	7	9
96	70	1	F	6	9
96	69	1	E	5	9
96	68	1	D	4	9
96	67	1	C	3	9
96	66	1	B	2	9
96	65	1	A	1	9
96	64	1	H	8	8
96	63	1	G	7	8
96	62	1	F	6	8
96	61	1	E	5	8
96	60	1	D	4	8
96	59	1	C	3	8
96	58	1	B	2	8
96	57	1	A	1	8
96	56	1	H	8	7
96	55	1	G	7	7
96	54	1	F	6	7
96	53	1	E	5	7
96	52	1	D	4	7
96	51	1	C	3	7
96	50	1	B	2	7
96	49	1	A	1	7
96	48	1	H	8	6
96	47	1	G	7	6
96	46	1	F	6	6
96	45	1	E	5	6
96	44	1	D	4	6
96	43	1	C	3	6
96	42	1	B	2	6
96	41	1	A	1	6
96	40	1	H	8	5
96	39	1	G	7	5
96	38	1	F	6	5
96	37	1	E	5	5
96	36	1	D	4	5
96	35	1	C	3	5
96	34	1	B	2	5
96	33	1	A	1	5
96	32	1	H	8	4
96	31	1	G	7	4
96	30	1	F	6	4
96	29	1	E	5	4
96	28	1	D	4	4
96	27	1	C	3	4
96	26	1	B	2	4
96	25	1	A	1	4
96	24	1	H	8	3
96	23	1	G	7	3
96	22	1	F	6	3
96	21	1	E	5	3
96	20	1	D	4	3
96	19	1	C	3	3
96	18	1	B	2	3
96	17	1	A	1	3
96	16	1	H	8	2
96	15	1	G	7	2
96	14	1	F	6	2
96	13	1	E	5	2
96	12	1	D	4	2
96	11	1	C	3	2
96	10	1	B	2	2
96	9	1	A	1	2
96	8	1	H	8	1
96	7	1	G	7	1
96	6	1	F	6	1
96	5	1	E	5	1
96	4	1	D	4	1
96	3	1	C	3	1
96	2	1	B	2	1
96	1	1	A	1	1
